,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
19,@DubbsWilliams25 Facts bro the MEDIA &amp; FANS want PLAYERS to be PERFECT. He was a KID when he got DRAFTED having FUN. So they ALWAYS made JOKES about him like his MAMA wasn't a BIG TIME PLAYER. It's in HIM &amp; his SISTER!! 3X NBA CHAMP &amp; OLYMPIC GOLD MEDALIST 🏅,  facts bro the media  amp  fans want players to be perfect  he was a kid when he got drafted having fun  so they always made jokes about him like his mama wasn t a big time player  it s in him  amp  his sister   3x nba champ  amp  olympic gold medalist  ,0.43333333333333335,0.43333333333333335,positive,0.0,0.721,0.279,0.9313
20,"Interview and message by FIL headcoach Marciej Kurowski: ""Olympics was great highlight but now stop war and make peace!"" #FILuge #LugeLove #Kurowski #Luge #headcoach   https://t.co/sSRo9tzeCA  https://t.co/TpaepdFhRU",interview and message by fil headcoach marciej kurowski   olympics was great highlight but now stop war and make peace    filuge  lugelove  kurowski  luge  headcoach       ,0.8,0.75,positive,0.225,0.526,0.249,-0.0387
21,"@perdueracing153 I use to go to Niagara Dragstrip from 1968-1973, I’m now 67 years old and still haven’t been to another Dragstrip since the day I saw Jungle Jim race. Very next weekend I met 👧 from Alaska and ended up in the Special Olympics 8/25/1974 over her went 🤪🥜",  i use to go to niagara dragstrip from 1968 1973  i m now 67 years old and still haven t been to another dragstrip since the day i saw jungle jim race  very next weekend i met   from alaska and ended up in the special olympics 8 25 1974 over her went   ,0.1523809523809524,0.2571428571428571,positive,0.0,0.942,0.058,0.4019
22,Giochi nazionali Special Olympics: 20 le discipline previste in diversi impianti della Città metropolitana  https://t.co/EVy0DHTrOg,giochi nazionali special olympics  20 le discipline previste in diversi impianti della citt  metropolitana   ,0.35714285714285715,0.5714285714285714,positive,0.0,0.828,0.172,0.4019
23,"ElectricVTOL: RT @volocopter: New footage straight from the Carrousel du #Louvre, where we’re working closely with @groupeadp as we prepare to launch in time for the 2024 #Paris Olympics.   #Volocopter #VoloCity #UrbanAirMobility #Airtaxi  https://t.co/JDVCDFePXm",electricvtol   new footage straight from the carrousel du  louvre  where we re working closely with   as we prepare to launch in time for the 2024  paris olympics     volocopter  volocity  urbanairmobility  airtaxi   ,0.16818181818181818,0.42727272727272725,positive,0.0,0.94,0.06,0.2263
24,"To tell a joke, CCTV’s commentator called Kaya Kazuma Uno Shoma at the pommel horse final of the Tokyo Olympic Games",to tell a joke  cctv s commentator called kaya kazuma uno shoma at the pommel horse final of the tokyo olympic games,0.0,1.0,positive,0.0,0.896,0.104,0.296
25,"@andermarin123 @Stako_tennis @RafaelNadal Athletes are a source of pride, particularly for the Russian ""government"" who go to extreme lengths (i.e., Russian doping at Olympics) for their athletes to win.  There should be no source of pride for Russia right now.  Accordingly, the athletes should not compete.",    tennis   athletes are a source of pride  particularly for the russian  government  who go to extreme lengths  i e   russian doping at olympics  for their athletes to win   there should be no source of pride for russia right now   accordingly  the athletes should not compete ,0.1878968253968254,0.37817460317460316,positive,0.045,0.779,0.176,0.7506
26,“Oppression Olympics” -Amani Larry, oppression olympics   amani larry,0.0,0.0,neutral,0.0,1.0,0.0,0.0
27,Olympic Gold Medalist Gable Stevenson!!!,olympic gold medalist gable stevenson   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
28,nagt-training po siya for olympics,nagt training po siya for olympics,0.0,0.0,negative,0.419,0.581,0.0,-0.5574
29,"Remember when we had a former World Cup alpine ski racer, four-time Olympic gold medalist and five-time World Champion @janicak in the house? ⛷👑😍  https://t.co/AXd5FGBCfd",remember when we had a former world cup alpine ski racer  four time olympic gold medalist and five time world champion   in the house        ,0.0,0.0,positive,0.0,0.849,0.151,0.5994
